,User_ID,User_Name,Text,Location,Followers_Count,Friends_Count,Statuses_Count,Favourites_Count,Listed_Count,Retweet_Count,Created_at,verified,Label
741,1.5669132832646922e+18,Linda L. Richards,@LaylaHawke2 EXIT STRATEGY is a deep dive into the world of high tech startups &amp; green tech. The hit woman we met i… https://t.co/hy5gu44CMw,,6205.0,3856.0,6999.0,8851.0,244.0,2.0,Tue Mar 10 23:43:28 +0000 2009,0.0,WomanInTech
742,1.5669131840903373e+18,Linda L. Richards,@ElenaRuiz_Poet EXIT STRATEGY is a deep dive into the world of high tech startups &amp; green tech. The hit woman we me… https://t.co/y1nF6UqEiN,,6205.0,3856.0,6999.0,8851.0,244.0,0.0,Tue Mar 10 23:43:28 +0000 2009,0.0,WomanInTech
743,1.5669076249849815e+18,billlangle,@jonnyob @rickb19 @drmikemacdonald @ifixhearts That jab is a joke to me because I’m truly blessed to be with an Ang… https://t.co/OU2UPbOMgj,"Los Angeles, CA",91.0,143.0,1197.0,7713.0,1.0,0.0,Mon Oct 19 19:23:57 +0000 2015,0.0,WomanInTech
744,1.5669038433922908e+18,neoTECH Industries,"@n1ghtcrawI3r @prodigal_son116 @pourinquali @b_timbs He's talking about DPing a woman, which is also gay to me...io… https://t.co/pbSxarFVpO","Aspiti Region,  Amino Hub",269.0,393.0,14918.0,55880.0,0.0,0.0,Fri Aug 04 19:22:09 +0000 2017,0.0,WomanInTech
745,1.5669027843221463e+18,Black Sisters in STEM,Are you a Black college woman passionate about tech👩🏽‍💻? Would you like to gain skills that will lead you into a 6-… https://t.co/JylMJeXtED,"Accra, Ghana",980.0,260.0,1741.0,2166.0,7.0,0.0,Fri Oct 19 17:32:46 +0000 2018,0.0,WomanInTech
746,1.5669025555102474e+18,Smilys Stores,Serene Hill Pink Long Mermaid With Train Luxury Evening Dresses Gowns for woman party Formal Dress 2021 LA70541… https://t.co/0eDJTowZXd,South Africa,238.0,662.0,6490.0,6.0,5.0,0.0,Sat Dec 09 20:58:19 +0000 2017,0.0,WomanInTech
747,1.5668980770043494e+18,Lucia Fresno,I remember a pretty close friend who was enraged by seeing film/tvshows where female hackers were played by hot you… https://t.co/es5BRuIwpH,,1030.0,967.0,5934.0,32503.0,8.0,0.0,Thu May 09 00:19:09 +0000 2019,0.0,WomanInTech
748,1.5668975816233656e+18,dilutee.com,"Woman Buys Mansion After Crypto Firm Accidentally Sends $10.5 Million Instead Of $100

Woman Buys Mansion After Cry… https://t.co/5niDTBEl7w",,203.0,2.0,1337.0,108.0,2.0,0.0,Fri Jul 27 13:54:24 +0000 2018,0.0,WomanInTech
749,1.5668903026522685e+18,Four Seasons Total Landscaping 🍊,@Be8by @FeelFreeToPanic @aaroncarter Am I missing why everyone is being short with this woman? They’re clearly putt… https://t.co/roD6VjiYl2,Nebraska’s 2nd District ,1611.0,4071.0,24529.0,104809.0,6.0,0.0,Sat Oct 15 05:36:07 +0000 2016,0.0,WomanInTech
750,1.5668888360719155e+18,Canadian Femicide Observatory,"@ibc_tech #Femicide is...

...the killing of a woman or girl because she declined to establish a relationship with… https://t.co/Qsv1KD8t2j",@csslrv,7799.0,1423.0,23990.0,39742.0,65.0,2.0,Sat Nov 18 14:22:51 +0000 2017,0.0,WomanInTech
